ProductCode,ProductName,IsActive
5180_UOMPK,AFC-20 Lid  Pack,yes
5181_UOMCS16,AFC-20 Compostable Body,yes
5181_UOMPK,AFC-20 Compostable Body,yes
5182_UOMCS16,AFC-20 Compostable Lid,yes
5182_UOMPK,AFC-20 Compostable Lid,yes
5185_UOMCS16,AFC-30 Blue Body Pack,yes
5185_UOMPK,AFC-30 Blue Body Pack,yes
5185A_UOMCS,SK-30 Blue Set Cs 6/50pc/set cs,yes
5185B_UOMPK,SK-30 (AFC-30) Set PK,yes
5185S_UOMCS16,AFC-30 Sakura Body 16/50pc/cs,yes
5185S_UOMPK,AFC-30 Sakura Body 16/50pc/cs,yes
5186_UOMCS16,AFC-30 Clear Body,yes
5186_UOMPK,AFC-30 Clear Body,yes
5190_UOMCS16,AFC-30 Lid Pack,yes
5190_UOMPK,AFC-30 Lid Pack,yes
5191_UOMCS16,AFC-30 Compostable Body,yes
5191_UOMPK,AFC-30 Compostable Body,yes
5192_UOMCS16,AFC-30 Compostable Lid,yes
5192_UOMPK,AFC-30 Compostable Lid,yes
5195_UOMCS16,AFC-40 Blue Body Pack,yes
5195_UOMPK,AFC-40 Blue Body Pack,yes
5195A_UOMCS,SK-40 Blue Set CS 6/50pc/set/CS,yes
5195B_UOMPK,SK-40 (AFC-40) Set PK,yes
5195S_UOMCS16,AFC-40 Sakura Body 16/50pc/cs,yes
5195S_UOMPK,AFC-40 Sakura Body 16/50pc/cs,yes
5196_UOMCS16,AFC-40 Clear Body,yes
5196_UOMPK,AFC-40 Clear Body,yes
5199_UOMCS16,AFC-40 Lid Pack,yes
5199_UOMPK,AFC-40 Lid Pack,yes
5200_UOMCS16,ST-201 Manyo Body,no
5200_UOMPK,ST-201 Manyo Body,no
5201_UOMCS16,AFC-40 Compostable Body,yes
5201_UOMPK,AFC-40 Compostable Body,yes
5202_UOMCS16,AFC-40 Compostable Lid,yes
5202_UOMPK,AFC-40 Compostable Lid,yes
5203_UOMCS24,CV-11B Body (BF-18),no
5203_UOMPK,CV-11B Body (BF-18),no
