ProductCode,ProductName,Price,UOM,IsActive
3635_UOMPACK,Ntl Seaweed 50 pack,49.5000,PACK,no
3637_UOMCASE,Calpico Original,34.1000,CASE,no
3638_UOMCASE,Calpico Strawberry,34.1000,CASE,no
3639_UOMCASE,Calpico Mango,34.1000,CASE,no
3640_UOMCS,Green Tea  24 Can,13.0400,CS,yes
3642_UOMCS,Green Tea Can  (Hello Kitty) CS,12.4800,CS,no
3647_UOMBOT,Soy Sauce Bottle,1.0700,BOT,no
3647_UOMCS12,Soy Sauce Bottle,12.8000,CS12,no
3647_UOMCS24,Soy Sauce Bottle,25.6000,CS24,yes
3648_UOMCS,Soy Sauce Hello Kitty,26.2800,CS,no
3648_UOMCS24,Soy Sauce Bottle 24 cs,32.6800,CS24,yes
3650_UOMBOT,S Vineger,1.3500,BOT,no
3650_UOMCS12,S Vineger,16.2000,CS12,no
3655_UOMCS,Tofu Miso Soup 24/CS,19.4900,CS,yes
3660_UOMCS,Veg. Miso Soup 24/CS,18.9100,CS,yes
3665_UOMEACH,Sushi Kit New,18.0000,EACH,no
3803_UOMPK,Takuwan 400G,3.5000,PK,no
3804_UOMCS,Sesame Soy Wrapper 20/10pk,72.5700,CS,yes
3805_UOMCS,Yellow Soy Wrapper 20/10pks,72.5700,CS,yes
3806_UOMCS,Quick Miso PK,39.6000,CS,no
3806_UOMPACK,Green Apple Origami Wrap 50pc/CS,12.5400,PACK,no
